ID_SITIO;LOCALIDAD;PROVINCIA;POBLACION;PLAN;Latitud;Longitud
87;25 DE MAYO;BUENOS AIRES;23408;LOCALIDAD CONECTADA;-35,44298056000;-60,17478889000
96;9 DE JULIO;BUENOS AIRES;36494;LOCALIDAD CONECTADA;-35,44068889000;-60,87250000000
101;ABASTO;BUENOS AIRES;7139;LOCALIDAD CONECTADA;-34,96646300000;-58,16294900000
109;ACEVEDO;BUENOS AIRES;1499;LOCALIDAD CONECTADA;-33,75574167000;-60,43588889000
132;AGUSTIN ROCA;BUENOS AIRES;334;LOCALIDAD CONECTADA;-34,50809600000;-60,87103500000
133;AGUSTINA;BUENOS AIRES;155;LOCALIDAD CONECTADA;-34,46090400000;-61,06406100000
139;ALBERDI VIEJO;BUENOS AIRES;318;LOCALIDAD CONECTADA;-34,44194444000;-61,84444444000
3763;ALFREDO DEMARCHI _EST F QUIROGA;BUENOS AIRES;1946;LOCALIDAD CONECTADA;-35,29379722000;-61,40713333000
216;AMERICA;BUENOS AIRES;11685;LOCALIDAD CONECTADA;-35,49445900000;-62,97002300000
271;ARGERICH;BUENOS AIRES;80;LOCALIDAD CONECTADA;-38,77061000000;-62,60159900000
273;ARIEL;BUENOS AIRES;16;LOCALIDAD CONECTADA;-36,53180278000;-59,92035833000
282;ARRECIFES;BUENOS AIRES;26400;LOCALIDAD CONECTADA;-34,06392883000;-60,07180956000
283;ARRIBEÑOS;BUENOS AIRES;2910;LOCALIDAD CONECTADA;-34,20834600000;-61,35876000000
292;ARROYO CORTO;BUENOS AIRES;514;LOCALIDAD CONECTADA;-37,51449676000;-62,31076809000
293;ARROYO DE LA CRUZ;BUENOS AIRES;243;LOCALIDAD CONECTADA;-34,34013645000;-59,11324909000
295;ARROYO DULCE;BUENOS AIRES;1715;LOCALIDAD CONECTADA;-34,09362778000;-60,41030278000
325;AYACUCHO;BUENOS AIRES;17364;LOCALIDAD CONECTADA;-37,14957222000;-58,47072222000
327;AZCUENAGA;BUENOS AIRES;312;LOCALIDAD CONECTADA;-34,36307825000;-59,37655399000
4023;AZUCENA;BUENOS AIRES;0;LOCALIDAD CONECTADA;-37,48694167000;-59,29332500000
330;AZUL;BUENOS AIRES;55728;LOCALIDAD CONECTADA;-36,76994444000;-59,85005556000
332;BAHIA BLANCA;BUENOS AIRES;291327;LOCALIDAD CONECTADA;-38,75124167000;-62,28297222000
336;BAIGORRITA;BUENOS AIRES;1848;LOCALIDAD CONECTADA;-34,74771111000;-60,98280833000
342;BALCARCE;BUENOS AIRES;38376;LOCALIDAD CONECTADA;-37,84979167000;-58,24926111000
351;BALNEARIO LAGUNA DE GOMEZ;BUENOS AIRES;230;LOCALIDAD CONECTADA;-34,65590556000;-61,01930000000
364;BANDERALO;BUENOS AIRES;1339;LOCALIDAD CONECTADA;-35,01091667000;-63,37183333000
368;BARADERO;BUENOS AIRES;28537;LOCALIDAD CONECTADA;-33,81028700000;-59,50957000000
396;BARRIO COLINAS VERDES;BUENOS AIRES;121;LOCALIDAD CONECTADA;-37,89308889000;-57,82196944000
409;BARRIO EL COYUNCO;BUENOS AIRES;374;LOCALIDAD CONECTADA;-37,91791944000;-57,74728056000
419;BARRIO EL TALADRO;BUENOS AIRES;155;LOCALIDAD CONECTADA;-35,07150000000;-58,86511111000
441;BARRIO LA GLORIA;BUENOS AIRES;415;LOCALIDAD CONECTADA;-37,90758889000;-57,78501111000
452;BARRIO LOMAS ALTAS;BUENOS AIRES;61;LOCALIDAD CONECTADA;-35,58551111000;-58,06786667000
496;BARRIO SANTA PAULA;BUENOS AIRES;644;LOCALIDAD CONECTADA;-37,93163056000;-57,68613889000
521;BELLOCQ;BUENOS AIRES;542;LOCALIDAD CONECTADA;-35,91959800000;-61,53402600000
523;BENAVIDEZ;BUENOS AIRES;35870;LOCALIDAD CONECTADA;-34,41083333000;-58,72027778000
526;BENITO JUAREZ;BUENOS AIRES;14279;LOCALIDAD CONECTADA;-37,67955556000;-59,81016667000
531;BERDIER;BUENOS AIRES;177;LOCALIDAD CONECTADA;-34,39888889000;-60,25111111000
535;BERMUDEZ;BUENOS AIRES;72;LOCALIDAD CONECTADA;-34,69230556000;-61,32461111000
543;BERUTTI;BUENOS AIRES;1098;LOCALIDAD CONECTADA;-35,85957778000;-62,51339722000
551;BOCAYUVA;BUENOS AIRES;83;LOCALIDAD CONECTADA;-36,20450000000;-63,07622222000
561;BRAGADO;BUENOS AIRES;33222;LOCALIDAD CONECTADA;-35,12833333000;-60,47111111000
601;CAMPANA;BUENOS AIRES;86860;LOCALIDAD CONECTADA;-34,18055556000;-58,96888889000
638;CAÑADA SECA;BUENOS AIRES;718;LOCALIDAD CONECTADA;-34,41813889000;-62,95777778000
642;CAÑUELAS;BUENOS AIRES;29974;LOCALIDAD CONECTADA;-35,02522500000;-58,73272778000
650;CAPILLA DEL SEÑOR;BUENOS AIRES;9244;LOCALIDAD CONECTADA;-34,29258889000;-59,10114444000
659;CAPITAN SARMIENTO;BUENOS AIRES;13088;LOCALIDAD CONECTADA;-34,17188611000;-59,79345000000
666;CARDENAL CAGLIERO;BUENOS AIRES;89;LOCALIDAD CONECTADA;-40,65080556000;-62,75411111000
667;CARHUE;BUENOS AIRES;9660;LOCALIDAD CONECTADA;-37,18036111000;-62,76183889000
670;CARLOS KEEN;BUENOS AIRES;557;LOCALIDAD CONECTADA;-34,48888889000;-59,21750000000
671;CARLOS MARIA NAON;BUENOS AIRES;497;LOCALIDAD CONECTADA;-35,23848167000;-60,82430900000
674;CARLOS TEJEDOR;BUENOS AIRES;5178;LOCALIDAD CONECTADA;-35,39012500000;-62,41308333000
676;CARMEN DE ARECO;BUENOS AIRES;12775;LOCALIDAD CONECTADA;-34,38752778000;-59,82036389000
677;CARMEN DE PATAGONES;BUENOS AIRES;20533;LOCALIDAD CONECTADA;-40,78720833000;-62,96825278000
711;CASTILLA;BUENOS AIRES;689;LOCALIDAD CONECTADA;-34,61167778000;-59,89820833000
725;CAZON;BUENOS AIRES;209;LOCALIDAD CONECTADA;-35,57500833000;-59,66033611000
750;CHACABUCO;BUENOS AIRES;38418;LOCALIDAD CONECTADA;-34,62842222000;-60,46585278000
773;CHASCOMUS;BUENOS AIRES;33607;LOCALIDAD CONECTADA;-35,57373610000;-58,01896940000
774;CHASICO;BUENOS AIRES;203;LOCALIDAD CONECTADA;-38,33581700000;-62,64485800000
791;CHIVILCOY;BUENOS AIRES;58152;LOCALIDAD CONECTADA;-34,91888889000;-59,99333333000
843;COLON;BUENOS AIRES;23206;LOCALIDAD CONECTADA;-33,89786336000;-61,09956051000
887;COLONIA HINOJO;BUENOS AIRES;4033;LOCALIDAD CONECTADA;-36,86530500000;-60,16078500000
921;COLONIA SAN MARTIN;BUENOS AIRES;92;LOCALIDAD CONECTADA;-37,97597615000;-62,33279726000
964;CONESA;BUENOS AIRES;2066;LOCALIDAD CONECTADA;-33,59207100000;-60,35723500000
1004;CORONEL SUAREZ;BUENOS AIRES;23621;LOCALIDAD CONECTADA;-37,47297222000;-61,92690833000
1024;COUNTRY CLUB EL CASCO;BUENOS AIRES;452;LOCALIDAD CONECTADA;-34,12682778000;-59,08610556000
1031;CROTTO;BUENOS AIRES;247;LOCALIDAD CONECTADA;-36,57603333000;-60,17097778000
1045;CUCULLU;BUENOS AIRES;551;LOCALIDAD CONECTADA;-34,44530833000;-59,36046944000
1049;CURAMALAL;BUENOS AIRES;95;LOCALIDAD CONECTADA;-37,48565000000;-62,10691667000
1050;CURARU;BUENOS AIRES;422;LOCALIDAD CONECTADA;-35,64127778000;-62,19375000000
1057;DAIREAUX;BUENOS AIRES;12122;LOCALIDAD CONECTADA;-36,59658333000;-61,74971111000
1062;DE BARY;BUENOS AIRES;63;LOCALIDAD CONECTADA;-36,34075000000;-63,25986111000
1067;DEL CARRIL;BUENOS AIRES;1270;LOCALIDAD CONECTADA;-35,50838889000;-59,51580556000
3785;DEL VISO;BUENOS AIRES;0;LOCALIDAD CONECTADA;-34,45436111000;-58,79658333000
4067;DERQUI;BUENOS AIRES;0;LOCALIDAD CONECTADA;-34,49130000000;-58,84225000000
1084;DIEGO GAYNOR;BUENOS AIRES;236;LOCALIDAD CONECTADA;-34,28715839000;-59,22120970000
1106;DUGGAN;BUENOS AIRES;573;LOCALIDAD CONECTADA;-34,21148889000;-59,63817222000
