Local;Ano;AcessoInternet - https://www.indec.gob.ar/ftp/cuadros/sociedad/accesos_internet.xls;PopTotal - https://www.indec.gob.ar/indec/web/Nivel4-Tema-2-24-85;Percentual
CABA;01/01/2017;19248981;19900257;0.9673
CABA;01/01/2018;19820773;20083740;0.9869
CABA;01/01/2019;20355918;20264439;1.0045
CABA;01/01/2020;19358702;20442173;0.9470
CABA;01/01/2021;20560976;20616787;0.9973
CABA;01/01/2022;21824888;20788434;1.0499
CABA;01/01/2023;23015233;20957293;1.0982
Cordoba;01/01/2017;3265460;3645321;0.8958
Cordoba;01/01/2018;3441268;3683937;0.9341
Cordoba;01/01/2019;3404680;3722332;0.9147
Cordoba;01/01/2020;3320763;3760450;0.8831
Cordoba;01/01/2021;3563597;3798261;0.9382
Cordoba;01/01/2022;3777556;3835738;0.9848
Cordoba;01/01/2023;3917474;3872830;1.0115
Chaco;01/01/2017;743305;1168165;0.6363
Chaco;01/01/2018;819993;1180477;0.6946
Chaco;01/01/2019;825120;1192616;0.6919
Chaco;01/01/2020;819772;1204541;0.6806
Chaco;01/01/2021;864688;1216247;0.7109
Chaco;01/01/2022;950730;1227736;0.7744
Chaco;01/01/2023;1005678;1238989;0.8117
Santiago del Estero;01/01/2017;525754;948172;0.5545
Santiago del Estero;01/01/2018;569031;958251;0.5938
Santiago del Estero;01/01/2019;576384;968309;0.5952
Santiago del Estero;01/01/2020;582223;978313;0.5951
Santiago del Estero;01/01/2021;627194;988245;0.6347
Santiago del Estero;01/01/2022;699962;998093;0.7013
Santiago del Estero;01/01/2023;746175;1007830;0.7404
Santa Fé;01/01/2017;2853715;3453674;0.8263
Santa Fé;01/01/2018;2980173;3481514;0.8560
Santa Fé;01/01/2019;3005798;3509113;0.8566
Santa Fé;01/01/2020;2967897;3536418;0.8392
Santa Fé;01/01/2021;3134538;3563390;0.8797
Santa Fé;01/01/2022;3329143;3589999;0.9273
Santa Fé;01/01/2023;3400185;3616227;0.9403
Formosa;01/01/2017;356077;589916;0.6036
Formosa;01/01/2018;387907;595129;0.6518
Formosa;01/01/2019;392013;600229;0.6531
Formosa;01/01/2020;385338;605193;0.6367
Formosa;01/01/2021;407409;610019;0.6679
Formosa;01/01/2022;451024;614706;0.7337
Formosa;01/01/2023;485626;619240;0.7842
