Year;Serie;Agg;Valor
01/01/2014;Individuals using the Internet (% of population);ARG;64,7
01/01/2015;Individuals using the Internet (% of population);ARG;68,0431
01/01/2016;Individuals using the Internet (% of population);ARG;70,969
01/01/2017;Individuals using the Internet (% of population);ARG;74,2949
01/01/2018;Individuals using the Internet (% of population);ARG;77,7
01/01/2019;Individuals using the Internet (% of population);ARG;79,947
01/01/2020;Individuals using the Internet (% of population);ARG;85,5144
01/01/2021;Individuals using the Internet (% of population);ARG;87,1507
01/01/2022;Individuals using the Internet (% of population);ARG;88,3754
01/01/2023;Individuals using the Internet (% of population);ARG;89,229
01/01/2014;Individuals using the Internet (% of population);LAC;48,7
01/01/2015;Individuals using the Internet (% of population);LAC;54,3
01/01/2016;Individuals using the Internet (% of population);LAC;57,5
01/01/2017;Individuals using the Internet (% of population);LAC;62,3
01/01/2018;Individuals using the Internet (% of population);LAC;65,3
01/01/2019;Individuals using the Internet (% of population);LAC;68
01/01/2020;Individuals using the Internet (% of population);LAC;74,1
01/01/2021;Individuals using the Internet (% of population);LAC;76
01/01/2022;Individuals using the Internet (% of population);LAC;77,6
01/01/2023;Individuals using the Internet (% of population);LAC;81
01/01/2014;Fixed broadband subscriptions (per 100 people);ARG;15,153
01/01/2015;Fixed broadband subscriptions (per 100 people);ARG;15,7689
01/01/2016;Fixed broadband subscriptions (per 100 people);ARG;16,5185
01/01/2017;Fixed broadband subscriptions (per 100 people);ARG;17,7082
01/01/2018;Fixed broadband subscriptions (per 100 people);ARG;18,9759
01/01/2019;Fixed broadband subscriptions (per 100 people);ARG;19,5519
01/01/2020;Fixed broadband subscriptions (per 100 people);ARG;21,1798
01/01/2021;Fixed broadband subscriptions (per 100 people);ARG;23,15
01/01/2022;Fixed broadband subscriptions (per 100 people);ARG;24,6832
01/01/2023;Fixed broadband subscriptions (per 100 people);ARG;25,3581
01/01/2014;Fixed broadband subscriptions (per 100 people);LAC;10,01410961
01/01/2015;Fixed broadband subscriptions (per 100 people);LAC;10,8
01/01/2016;Fixed broadband subscriptions (per 100 people);LAC;11,5
01/01/2017;Fixed broadband subscriptions (per 100 people);LAC;12,2
01/01/2018;Fixed broadband subscriptions (per 100 people);LAC;13
01/01/2019;Fixed broadband subscriptions (per 100 people);LAC;13,5
01/01/2020;Fixed broadband subscriptions (per 100 people);LAC;15
01/01/2021;Fixed broadband subscriptions (per 100 people);LAC;16,6
01/01/2022;Fixed broadband subscriptions (per 100 people);LAC;17,7
01/01/2023;Fixed broadband subscriptions (per 100 people);LAC;18,4
01/01/2014;Mobile cellular subscriptions (per 100 people);ARG;142,9902363
01/01/2015;Mobile cellular subscriptions (per 100 people);ARG;142,9639551
01/01/2016;Mobile cellular subscriptions (per 100 people);ARG;145,9179567
01/01/2017;Mobile cellular subscriptions (per 100 people);ARG;140,5014607
01/01/2018;Mobile cellular subscriptions (per 100 people);ARG;131,9371685
01/01/2019;Mobile cellular subscriptions (per 100 people);ARG;125,9409814
01/01/2020;Mobile cellular subscriptions (per 100 people);ARG;121,6001889
01/01/2021;Mobile cellular subscriptions (per 100 people);ARG;130,4550081
01/01/2022;Mobile cellular subscriptions (per 100 people);ARG;132,3578095
01/01/2014;Mobile cellular subscriptions (per 100 people);ARG;115,7331594
01/01/2015;Mobile cellular subscriptions (per 100 people);LAC;112,2
01/01/2016;Mobile cellular subscriptions (per 100 people);LAC;110,6
01/01/2017;Mobile cellular subscriptions (per 100 people);LAC;107,3
01/01/2018;Mobile cellular subscriptions (per 100 people);LAC;105,7
01/01/2019;Mobile cellular subscriptions (per 100 people);LAC;103,3
01/01/2020;Mobile cellular subscriptions (per 100 people);LAC;102,9
01/01/2021;Mobile cellular subscriptions (per 100 people);LAC;108,8
01/01/2022;Mobile cellular subscriptions (per 100 people);LAC;110,1
